ID,NAME,COUNTRY_ID
1,ANDAMAN AND NICOBAR ISLANDS,101
2,ANDHRA PRADESH,101
3,ARUNACHAL PRADESH,101
4,ASSAM,101
5,BIHAR,101
6,CHANDIGARH,101
7,CHHATTISGARH,101
8,DADRA AND NAGAR HAVELI,101
9,DAMAN AND DIU,101
10,DELHI,101
11,GOA,101
12,GUJARAT,101
13,HARYANA,101
14,HIMACHAL PRADESH,101
15,JAMMU AND KASHMIR,101
16,JHARKHAND,101
17,KARNATAKA,101
18,KENMORE,101
19,KERALA,101
20,LAKSHADWEEP,101
21,MADHYA PRADESH,101
22,MAHARASHTRA,101
23,MANIPUR,101
24,MEGHALAYA,101
25,MIZORAM,101
26,NAGALAND,101
27,NARORA,101
28,NATWAR,101
29,ODISHA,101
30,PASCHIM MEDINIPUR,101
31,PONDICHERRY,101
32,PUNJAB,101
33,RAJASTHAN,101
34,SIKKIM,101
35,TAMIL NADU,101
36,TELANGANA,101
37,TRIPURA,101
38,UTTAR PRADESH,101
39,UTTARAKHAND,101
40,VAISHALI,101
41,WEST BENGAL,101
42,BADAKHSHAN,1
43,BADGIS,1
44,BAGLAN,1
45,BALKH,1
46,BAMIYAN,1
47,FARAH,1
48,FARYAB,1
49,GAWR,1
50,GAZNI,1
51,HERAT,1
52,HILMAND,1
53,JAWZJAN,1
54,KABUL,1
55,KAPISA,1
56,KHAWST,1
57,KUNAR,1
58,LAGMAN,1
59,LAWGHAR,1
60,NANGARHAR,1
61,NIMRUZ,1
62,NURISTAN,1
63,PAKTIKA,1
64,PAKTIYA,1
65,PARWAN,1
66,QANDAHAR,1
67,QUNDUZ,1
68,SAMANGAN,1
69,SAR-E PUL,1
70,TAKHAR,1
71,URUZGAN,1
72,WARDAG,1
73,ZABUL,1
74,BERAT,2
75,BULQIZE,2
76,DELVINE,2
77,DEVOLL,2
78,DIBRE,2
79,DURRES,2
80,ELBASAN,2
81,FIER,2
82,GJIROKASTER,2
83,GRAMSH,2
84,HAS,2
85,KAVAJE,2
86,KOLONJE,2
87,KORCE,2
88,KRUJE,2
89,KUCOVE,2
90,KUKES,2
91,KURBIN,2
92,LEZHE,2
93,LIBRAZHD,2
94,LUSHNJE,2
95,MALLAKASTER,2
96,MALSI E MADHE,2
97,MAT,2
98,MIRDITE,2
99,PEQIN,2
100,PERMET,2
101,POGRADEC,2
102,PUKE,2
103,SARANDE,2
104,SHKODER,2
105,SKRAPAR,2
106,TEPELENE,2
107,TIRANE,2
108,TROPOJE,2
109,VLORE,2
110,AYN DAFLAH,3
111,AYN TAMUSHANAT,3
112,ADRAR,3
113,ALGIERS,3
114,ANNABAH,3
115,BASHSHAR,3
116,BATNAH,3
117,BIJAYAH,3
118,BISKRAH,3
119,BLIDAH,3
120,BUIRAH,3
121,BUMARDAS,3
122,BURJ BU ARRIRIJ,3
123,GHALIZAN,3
124,GHARDAYAH,3
125,ILIZI,3
126,JIJILI,3
127,JILFAH,3
128,KHANSHALAH,3
129,MASILAH,3
130,MIDYAH,3
131,MILAH,3
132,MUASKAR,3
133,MUSTAGHANAM,3
134,NAAMA,3
135,ORAN,3
136,OUARGLA,3
137,QALMAH,3
138,QUSTANTINAH,3
139,SAKIKDAH,3
140,SATIF,3
141,SAYDA,3
142,SIDI BAN-AL- ABBAS,3
143,SUQ AHRAS,3
144,TAMANGHASAT,3
145,TIBAZAH,3
146,TIBISSAH,3
147,TILIMSAN,3
148,TINDUF,3
149,TISAMSILT,3
150,TIYARAT,3
151,TIZI WAZU,3
152,UMM-AL-BAWAGHI,3
153,WAHRAN,3
154,WARQLA,3
155,WILAYA D ALGER,3
156,WILAYA DE BEJAIA,3
157,WILAYA DE CONSTANTINE,3
158,AL-AGHWAT,3
159,AL-BAYADH,3
160,AL-JAZA IR,3
161,AL-WAD,3
162,ASH-SHALIF,3
163,AT-TARIF,3
164,EASTERN,4
165,MANU A,4
166,SWAINS ISLAND,4
167,WESTERN,4
168,ANDORRA LA VELLA,5
169,CANILLO,5
170,ENCAMP,5
171,LA MASSANA,5
172,LES ESCALDES,5
173,ORDINO,5
174,SANT JULIA DE LORIA,5
175,BENGO,6
176,BENGUELA,6
177,BIE,6
178,CABINDA,6
179,CUNENE,6
180,HUAMBO,6
181,HUILA,6
182,KUANDO-KUBANGO,6
183,KWANZA NORTE,6
184,KWANZA SUL,6
185,LUANDA,6
186,LUNDA NORTE,6
187,LUNDA SUL,6
188,MALANJE,6
189,MOXICO,6
190,NAMIBE,6
191,UIGE,6
192,ZAIRE,6
193,OTHER PROVINCES,7
194,SECTOR CLAIMED BY ARGENTINA/CH,8
195,SECTOR CLAIMED BY ARGENTINA/UK,8
196,SECTOR CLAIMED BY AUSTRALIA,8
197,SECTOR CLAIMED BY FRANCE,8
198,SECTOR CLAIMED BY NEW ZEALAND,8
199,SECTOR CLAIMED BY NORWAY,8
200,UNCLAIMED SECTOR,8
201,BARBUDA,9
202,SAINT GEORGE,9
203,SAINT JOHN,9
204,SAINT MARY,9
205,SAINT PAUL,9
206,SAINT PETER,9
207,SAINT PHILIP,9
208,BUENOS AIRES,10
209,CATAMARCA,10
210,CHACO,10
211,CHUBUT,10
212,CORDOBA,10
213,CORRIENTES,10
214,DISTRITO FEDERAL,10
215,ENTRE RIOS,10
216,FORMOSA,10
217,JUJUY,10
218,LA PAMPA,10
219,LA RIOJA,10
220,MENDOZA,10
221,MISIONES,10
222,NEUQUEN,10
223,RIO NEGRO,10
224,SALTA,10
225,SAN JUAN,10
226,SAN LUIS,10
227,SANTA CRUZ,10
228,SANTA FE,10
229,SANTIAGO DEL ESTERO,10
230,TIERRA DEL FUEGO,10
231,TUCUMAN,10
232,ARAGATSOTN,11
233,ARARAT,11
234,ARMAVIR,11
235,GEGHARKUNIK,11
236,KOTAIK,11
237,LORI,11
238,SHIRAK,11
239,STEPANAKERT,11
240,SYUNIK,11
241,TAVUSH,11
242,VAYOTS DZOR,11
243,YEREVAN,11
244,ARUBA,12
245,AUCKLAND,13
246,AUSTRALIAN CAPITAL TERRITORY,13
247,BALGOWLAH,13
248,BALMAIN,13
249,BANKSTOWN,13
250,BAULKHAM HILLS,13
251,BONNET BAY,13
252,CAMBERWELL,13
253,CAROLE PARK,13
254,CASTLE HILL,13
255,CAULFIELD,13
256,CHATSWOOD,13
257,CHELTENHAM,13
258,CHERRYBROOK,13
259,CLAYTON,13
260,COLLINGWOOD,13
261,FRENCHS FOREST,13
262,HAWTHORN,13
263,JANNNALI,13
264,KNOXFIELD,13
265,MELBOURNE,13
266,NEW SOUTH WALES,13
267,NORTHERN TERRITORY,13
268,PERTH,13
269,QUEENSLAND,13
270,SOUTH AUSTRALIA,13
271,TASMANIA,13
272,TEMPLESTOWE,13
273,VICTORIA,13
274,WERRIBEE SOUTH,13
275,WESTERN AUSTRALIA,13
276,WHEELER,13
277,BUNDESLAND SALZBURG,14
278,BUNDESLAND STEIERMARK,14
279,BUNDESLAND TIROL,14
280,BURGENLAND,14
281,CARINTHIA,14
282,KARNTEN,14
283,LIEZEN,14
284,LOWER AUSTRIA,14
285,NIEDEROSTERREICH,14
286,OBEROSTERREICH,14
287,SALZBURG,14
288,SCHLESWIG-HOLSTEIN,14
289,STEIERMARK,14
290,STYRIA,14
291,TIROL,14
292,UPPER AUSTRIA,14
293,VORARLBERG,14
294,WIEN,14
295,ABSERON,15
296,BAKI SAHARI,15
297,GANCA,15
298,GANJA,15
299,KALBACAR,15
300,LANKARAN,15
301,MIL-QARABAX,15
302,MUGAN-SALYAN,15
303,NAGORNI-QARABAX,15
304,NAXCIVAN,15
305,PRIARAKS,15
306,QAZAX,15
307,SAKI,15
308,SIRVAN,15
309,XACMAZ,15
310,ABACO,16
311,ACKLINS ISLAND,16
312,ANDROS,16
313,BERRY ISLANDS,16
314,BIMINIS,16
315,CAT ISLAND,16
316,CROOKED ISLAND,16
317,ELEUTHERA,16
318,EXUMA AND CAYS,16
319,GRAND BAHAMA,16
320,INAGUA ISLANDS,16
321,LONG ISLAND,16
322,MAYAGUANA,16
323,NEW PROVIDENCE,16
324,RAGGED ISLAND,16
325,RUM CAY,16
326,SAN SALVADOR,16
327,ISA,17
328,BADIYAH,17
329,HIDD,17
330,JIDD HAFS,17
331,MAHAMA,17
332,MANAMA,17
333,SITRAH,17
334,AL-MANAMAH,17
335,AL-MUHARRAQ,17
336,AR-RIFA A,17
337,BAGAR HAT,18
338,BANDARBAN,18
339,BARGUNA,18
340,BARISAL,18
341,BHOLA,18
342,BOGORA,18
343,BRAHMAN BARIYA,18
344,CHANDPUR,18
345,CHATTAGAM,18
346,CHITTAGONG DIVISION,18
347,CHUADANGA,18
348,DHAKA,18
349,DINAJPUR,18
350,FARIDPUR,18
351,FENI,18
352,GAYBANDA,18
353,GAZIPUR,18
354,GOPALGANJ,18
355,HABIGANJ,18
356,JAIPUR HAT,18
357,JAMALPUR,18
358,JESSOR,18
359,JHALAKATI,18
360,JHANAYDAH,18
361,KHAGRACHHARI,18
362,KHULNA,18
363,KISHORGANJ,18
364,KOKS BAZAR,18
365,KOMILLA,18
366,KURIGRAM,18
367,KUSHTIYA,18
368,LAKSHMIPUR,18
369,LALMANIR HAT,18
370,MADARIPUR,18
371,MAGURA,18
372,MAIMANSINGH,18
373,MANIKGANJ,18
374,MAULVI BAZAR,18
375,MEHERPUR,18
376,MUNSHIGANJ,18
377,NARAL,18
378,NARAYANGANJ,18
379,NARSINGDI,18
380,NATOR,18
381,NAUGAON,18
382,NAWABGANJ,18
383,NETRAKONA,18
384,NILPHAMARI,18
385,NOAKHALI,18
386,PABNA,18
387,PANCHAGARH,18
388,PATUAKHALI,18
389,PIROJPUR,18
390,RAJBARI,18
391,RAJSHAHI,18
392,RANGAMATI,18
393,RANGPUR,18
394,SATKHIRA,18
395,SHARIATPUR,18
396,SHERPUR,18
397,SILHAT,18
398,SIRAJGANJ,18
399,SUNAMGANJ,18
400,TANGAYAL,18
401,THAKURGAON,18
402,CHRIST CHURCH,19
403,SAINT ANDREW,19
404,SAINT GEORGE,19
405,SAINT JAMES,19
406,SAINT JOHN,19
407,SAINT JOSEPH,19
408,SAINT LUCY,19
